"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"10","","16","","46","1","","0"
"0","","1","Client Master","4","0","Navigation","0"
"0","Auction Application","0","Client Module","1","0","Navigate to Client Master","0"
"0","","0","Bidder Master","1","0","Add Bidder","0"
"0","Auction Application","0","Client Module","1","0","Add New Client","0"
"0","Auction Application","0","Bidder Module","1","0","Navigate to Bidder Master","0"
"0","Auction Application","0","Bidder Module","1","0","Add New Bidder","0"
"0","Auction Application","0","Auction Creation Module","1","0","Create New Auction","0"
"0","","0","Client Master","1","0","Add Client","0"
"0","","0","Bidder Master","1","0","Navigation","0"
"0","Auction Application","0","Auction Creation Module","1","0","Navigate to Auction Creation Page","0"
