"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10098","should have correct input types","chromium","2026-03-18","failed","2026-03-18","Login Page Tests > UI Elements Visibility","login.advanced.spec.ts","",""
"","8333","should login successfully with valid credentials","chromium","2026-03-18","passed","2026-03-18","Login Page Tests > Valid Credentials","login.advanced.spec.ts","",""
"","24461","should login successfully with valid credentials","firefox","2026-03-18","passed","2026-03-18","Login Page Tests > Valid Credentials","login.advanced.spec.ts","",""
"","8070","Login test for WrongUser - failure","chromium","2026-03-18","passed","2026-03-18","","login.spec.ts","",""
"","16461","AI assisted login validation","chromium","2026-03-18","failed","2026-03-18","","aiTest.spec.ts","",""
"","7859","should have working login button","webkit","2026-03-18","passed","2026-03-18","Login Page Tests > Form Behavior","login.advanced.spec.ts","",""
"","15601","should display all login form elements","firefox","2026-03-18","passed","2026-03-18","Login Page Tests > UI Elements Visibility","login.advanced.spec.ts","",""
"","37345","Recruitment","chromium","2026-03-18","failed","2026-03-18","","Recruitmentpages.spec.ts","",""
"","9592","should have correct input types","webkit","2026-03-18","failed","2026-03-18","Login Page Tests > UI Elements Visibility","login.advanced.spec.ts","",""
"","1458","API test","firefox","2026-03-18","failed","2026-03-18","","ApiTest.spec.ts","",""
"","21098","Login test for Admin - success","firefox","2026-03-18","passed","2026-03-18","","login.spec.ts","",""
"","8880","Invalid Login","webkit","2026-03-18","passed","2026-03-18","Login Feature","HooksLoginDashbord.spec.ts","",""
"","10308","should fail login with non-existent username","chromium","2026-03-18","passed","2026-03-18","Login Page Tests > Invalid Credentials","login.advanced.spec.ts","",""
"Verifies that the user can navigate to the Client Master page.","897","Client Master Navigation","chromium","2026-06-17","passed","2026-06-17","Client Master Tests","AuctionLoginpage.spec.ts","",""
"","8577","should display all login form elements","webkit","2026-03-18","passed","2026-03-18","Login Page Tests > UI Elements Visibility","login.advanced.spec.ts","",""
"","6412","should fail login with empty password","chromium","2026-03-18","passed","2026-03-18","Login Page Tests > Invalid Credentials","login.advanced.spec.ts","",""
"","7112","should clear and fill credentials correctly","webkit","2026-03-18","passed","2026-03-18","Login Page Tests > Form Behavior","login.advanced.spec.ts","",""
"","13526","Verify Dashboard & Click on Assign Leave","webkit","2026-03-18","passed","2026-03-18","Dashboard Test","Dashboard.spec.ts","",""
"","8639","should clear and fill credentials correctly","firefox","2026-03-18","passed","2026-03-18","Login Page Tests > Form Behavior","login.advanced.spec.ts","",""
"","30199","Apply Leave","chromium","2026-03-18","broken","2026-03-18","","Leave.spec.ts","",""
"","6678","get started link","firefox","2026-03-18","passed","2026-03-18","","example.spec.ts","",""
"","30460","AI assisted login validation","webkit","2026-03-18","broken","2026-03-18","","aiTest.spec.ts","",""
"","30343","Apply Leave","webkit","2026-03-18","broken","2026-03-18","","Leave.spec.ts","",""
"","0","Add Client","firefox","2026-06-17","skipped","2026-06-17","Client Master Tests","AuctionLoginpage.spec.ts","",""
"","7147","should display all login form elements","chromium","2026-03-18","passed","2026-03-18","Login Page Tests > UI Elements Visibility","login.advanced.spec.ts","",""
"","16677","Login test for Admin - failure","firefox","2026-03-18","passed","2026-03-18","","login.spec.ts","",""
"","9783","should display dashboard after successful login","chromium","2026-03-18","failed","2026-03-18","Login Page Tests > Valid Credentials","login.advanced.spec.ts","",""
"","3550","Client Master Navigation","chromium","2026-06-26","passed","2026-06-26","Client Master Tests","AuctionLoginpage.spec.ts","",""
"Verifies that a new bidder can be added and linked to an existing client.","22602","Add Bidder","chromium","2026-06-17","passed","2026-06-17","Client Master Tests","AuctionLoginpage.spec.ts","",""
"","3869","get started link","chromium","2026-03-18","passed","2026-03-18","","example.spec.ts","",""
"","2181","has title","webkit","2026-03-18","passed","2026-03-18","","example.spec.ts","",""
"","31091","Invalid login shows error","firefox","2026-03-18","broken","2026-03-18","Login Negative Test","Dashboard.spec.ts","",""
"","7195","Add Client","chromium","2026-06-26","passed","2026-06-26","Client Master Tests","AuctionLoginpage.spec.ts","",""
"","36892","AI assisted login validation","firefox","2026-03-18","broken","2026-03-18","","aiTest.spec.ts","",""
"","14032","should fail login with empty password","firefox","2026-03-18","passed","2026-03-18","Login Page Tests > Invalid Credentials","login.advanced.spec.ts","",""
"","8414","should fail login with empty username","chromium","2026-03-18","passed","2026-03-18","Login Page Tests > Invalid Credentials","login.advanced.spec.ts","",""
"","13159","Invalid Login","firefox","2026-03-18","passed","2026-03-18","Login Feature","HooksLoginDashbord.spec.ts","",""
"","13819","Navigate to Bidder Master","chromium","2026-06-26","passed","2026-06-26","Client Master Tests","AuctionLoginpage.spec.ts","",""
"","6363","should have working login button","chromium","2026-03-18","passed","2026-03-18","Login Page Tests > Form Behavior","login.advanced.spec.ts","",""
"","13395","Add Bidder","chromium","2026-06-26","passed","2026-06-26","Client Master Tests","AuctionLoginpage.spec.ts","",""
"","3031","has title","firefox","2026-03-18","passed","2026-03-18","","example.spec.ts","",""
"","10067","Valid Login","webkit","2026-03-18","passed","2026-03-18","Login Feature","HooksLoginDashbord.spec.ts","",""
